,last,status,title
0,Failed,Failed,Amy Cuddy: 肢体语言塑造你自己.txt
1,Failed,Failed,Alexis Ohanian: 怎样在社会媒体上溅起水花.txt
2,2.75,Success,4首豪迈诗篇诠释着帕金森与衰老.txt
3,Failed,Failed,Alan Russell讲人体的再生.txt
4,10.6,Success,Amos Winter: 廉价的全地形轮椅.txt
5,2.2,Success,Adam Grossert和他的可持续冰箱.txt
6,Failed,Failed,Alan Siegel:让我们一起来简化法律术语.txt
7,2.2,Success,Airbnb是如何建立信任的？.txt
8,2.2,Success,Aditi Shankardass: 关于学习障碍的思考.txt
9,1.85,Success,11岁神童的复古爵士演出.txt
10,2.2,Success,Alisa Miller共享关于新闻的新闻.txt
11,2.2,Success,3D 打印的未来是什么.txt
12,3.6666666666666665,Success,2030年惊人的劳动力危机 — 以及如何在今天开始解决.txt
13,Failed,Failed,Alwar Balasubramaniam:物质存在与缺失之艺术.txt
14,6.714285714285714,Success,Amanda Palmer： 请求的艺术.txt
15,1.8333333333333333,Success,Ami Klin：诊断自闭症的新方法.txt
16,2.4761904761904763,Success,Amory Lovins ”赢下石油之战的最后博弈“.txt
17,2.2,Success, Jacobs依照圣经指导原则生活的一年.txt
18,2.2,Success,Alex Tabarrok 评论: 如何用创新来克服危机.txt
19,2.75,Success,雅各布斯：为什么健康的生活方式几乎把我害死.txt
20,Failed,Failed,5个毁灭梦想的办法.txt
