,last,status,title
95,2.2,Success,凱文．蘇拉切發明的環保石膏板.txt
96,1.8333333333333333,Success,Michael Merzenich 主講: 改寫大腦.txt
97,2.75,Success,多麗絲‧克恩斯‧古德溫：向歷代的美國總統學習.txt
98,2.142857142857143,Success,聽理查‧普賴斯頓講述參天大樹.txt
99,2.2,Success,Mathieu lehanneur 展示科學對設計的啟發.txt
100,2.2,Success,為何好的駭客會是好的公民.txt
101,3.5,Success,保羅·塞雷諾挖掘恐龍.txt
102,7.333333333333333,Success,Ryan Merkley: 線上影片——註記、混搭、迸發.txt
103,Failed,Failed,麥可‧薛莫-奇異的信念.txt
104,Failed,Failed,群體免疫的力量.txt
105,2.2,Success,改造我們食物的案例.txt
106,2.2,Success,我如何化致命的植物為盎然的商機.txt
107,Failed,Failed,喬瑟夫．里克頓的肯亞寓言.txt
108,2.2,Success,紙做的！.txt
109,Failed,Failed,李維特 (Steven Levitt) 分析快克古柯鹼經濟學.txt
110,Failed,Failed,為什麼我認為虐待女性是頭號人權侵犯問題.txt
111,2.2,Success,各式各樣的“男人專屬空間”.txt
112,Failed,Failed,為何有些人認為運動很難.txt
113,2.3043478260869565,Success,Larry Burns:談汽車的未來.txt
114,2.75,Success,史蒂芬•彼車奈克(Stephen Petranek)的世界末日倒計時.txt
115,Failed,Failed,下次，用你的智慧型手機檢查眼睛.txt
116,2.2,Success,2030 年勞動力危機令人震驚 — 如何從現在開始解決！.txt
117,2.2,Success,李察‧威爾金森(Richard Wilkinson)：經濟失衡對社會造成的傷害.txt
118,2.2,Success,為何會是未來建築的塑造者.txt
119,2.2,Success,阿尙提：這就是動感爵士.txt
120,Failed,Failed,一隻飛得像鳥的機器人.txt
121,Failed,Failed,鄒奇奇 : 大人能向小孩學到什麼.txt
122,2.2,Success,詹姆斯‧藍迪（James Randi）拆穿通靈的騙子.txt
123,2.2,Success, 好容易！.txt
124,6.333333333333333,Success,Raghava KK: 你的200年的計劃是怎樣的?.txt
125,2.75,Success,露西安 沃可薇姿：在其他恆星周圍尋找行星.txt
126,Failed,Failed,全像景（全息攝影）時代的未來願景.txt
127,2.2,Success,塞格麥斯特 (Stefan Sagmeister ) — 開心設計之分享.txt
128,3.5,Success,Paola Antonelli 預報「設計與彈性思維」展覽.txt
129,3.6666666666666665,Success,伽綠地．提利曼．迪克：雙肺移植後的獻聲.txt
130,2.2,Success,Cheryl Hayashi 談美妙的蜘蛛絲.txt
131,Failed,Failed,我兒短暫的一生怎樣為人帶來永遠的影響.txt
132,Failed,Failed,設計和人生中，第一印象的藝術.txt
133,2.2,Success,Nandan Nilekani談影響印度未來的重要關鍵.txt
134,2.2,Success,羅拉．特萊斯 建議我們說謝謝.txt
135,1.6470588235294117,Success,Max Little: 用電話測試帕金森症.txt
136,2.2,Success,行走的癱瘓老鼠.txt
137,2.2,Success,前所未見的最好的幼兒園.txt
138,2.2,Success,約翰法蘭西斯行走地球.txt
139,2.2,Success,我如何讓我的教會改變.txt
140,Failed,Failed,勢不可擋的政治改革之路.txt
141,2.2,Success,煩亂如何激發創意.txt
142,2.2,Success,"Sonaar Luthra: 認識水質偵測器""水金絲雀"".txt"
143,Failed,Failed,在世界上最危險的地方，用偷拍記錄不公義.txt
144,1.5714285714285714,Success,艾瑞克‧托普: 醫學的無線未來.txt
145,2.2,Success,網路大憲章.txt
146,2.2,Success,Mina Bissell: 實驗為為癌症帶來新理解.txt
147,Failed,Failed,Seth Priebatsch：世界第一的遊戲社交圈.txt
148,2.2,Success,Jaime Lerner的城市頌歌.txt
149,Failed,Failed,神秘的黑暗網路如何走向主流.txt
150,2.2,Success,"諾拉．約克演唱 ""我想要的"".txt"
151,2.2,Success,"Clay Shirky: ""制止網上盜版法"" (SOPA) 為什麼是個壞主意.txt"
