,link,status,title
63,http://shooter.zimuku.net/download/NjQ2Mjd8aHVzdGxlLnMwNGUwNS5oZHR2Lnh2aWQtYmlhLllURVQlNDBZRFkucmFy,True,斗智天王
64,http://shooter.zimuku.net/download/NjQ2ODN8MjAwNzA3MTIwNzU5TWFjR3l2ZXIuUzA2RTEyLkplcmljby5HYW1lcy5EVkRSaXAuWHZpRC1Gb1YucmFy,True,馬蓋先 116.S6.E12.再次重逢
65,http://shooter.zimuku.net/download/NjQ2ODR8MjAwNzA3MTIwODAyTWFjR3l2ZXIuUzA2RTE3LkJsaW5kLkZhaXRoLkRWRFJpcC5YdmlELUZvVi5yYXI%3D,True,馬蓋先 121.S6.E17.盲失信念
66,http://shooter.zimuku.net/download/NjQ2ODd8MjAwNzA3MTIwODAzTWFjR3l2ZXIuUzA2RTIxLkhpbmQtU2lnaHQuRFZEUmlwLlh2aUQtRm9WLnJhcg%3D%3D,True,馬蓋先 125.S6.E21.但見知心
67,http://shooter.zimuku.net/download/NjQ2MzZ8JTI4QkQlMjlIYXBwaWx5JTVCMSU1RC5OZXZlci5BZnRlci4yMDA3LlhWSUQuNzIwUC5EVFMuSy5LLnJhcg%3D%3D,True,Happily Never After
68,http://shooter.zimuku.net/download/NjQ2MjZ8TUdTNF9FM1RyYWlsZXJfSEQucmFy,True,MGS4_E3Trailer-HD简体
69,http://shooter.zimuku.net/download/NjQ2MjB8cmlwc2lyLXRhKyUyODIlMjkucmFy,True,The.Abandoned
70,http://shooter.zimuku.net/download/NjQ2MTh8MDcuMTIuMDcuVHJhbnNmb3JtZXJzLlRTLlhWaUQtMjB0aCU0MEZSTS5yYXI%3D,True,Transformers
71,http://shooter.zimuku.net/download/NjQ2MTZ8JUUzJTgwJThBJUU5JUJFJTk5JUU3JThDJUFCJUUzJTgwJThCJTI4TXkrTmVpZ2hib3IrVG90b3JvJTI5JUU1JTlCJUJEJUU3JUIyJUE0JUU1JThGJThDJUU4JUFGJUFEMkNEJUU3JTg5JTg4JTVCRFZEUmlwJTVELnJhcg%3D%3D,True,My Neighbor Totoro
72,http://shooter.zimuku.net/download/NjUwNjZ8VWx5c3Nlc19HYXplLnJhcg%3D%3D,True,Ulysses_Gaze
