,link,title,status
24,http://shooter.zimuku.net/download/MjY0MDE0fDEwLjE2LjE0LkNyaW1pbmFsLk1pbmRzLlMxMEUwMy5IRFRWLngyNjQtTE9MJTQwRlJNLnJhcg%3D%3D,犯罪心理第十季第三集,0
25,http://shooter.zimuku.net/download/MjY0MDEzfCVFMyU4MCU5MDIwMTAlRTMlODAlOTElRTMlODAlOEElRTUlQkYlQUIlRTQlQjklOTAlRTUlQTQlQTklRTUlQTAlODIlRTYlQkIlOUElRTclOUYlQjMzMCVFNiVCQyU5NCVFNSU5NCVCMSVFNCVCQyU5QSVFMyU4MCU4Qi5DaHMuJTVCJUU1JUFEJTk3JUU1JUI5JTk1JUU4JUJEJUFDJUU2JThEJUEyJUU1JThBJUE5JUU2JTg5JThCJTVELnppcA%3D%3D,滚石30台北演唱会,0
26,http://shooter.zimuku.net/download/MjY0MDEyfEJCQy1IaWRkZW4rS2luZ2RvbXMucmFy,隐秘王国,0
27,http://shooter.zimuku.net/download/MjY0MDExfFRoZStQcmluY2UlRTclOEUlOEIlRTUlQUQlOTAuZW5nLnJhcg%3D%3D,王子,0
28,http://shooter.zimuku.net/download/MjY0MDEwfFdpc2grSStXYXMrSGVyZSVFNyVBQyU5MSVFNyVBQyU5MSVFNSVCMCU4RiVFNSVBRSVCNiVFNSVCQSVBRC5lbmcucmFy,笑笑小家庭,0
29,http://shooter.zimuku.net/download/MjY0MDA5fCU1QkJSQiU1RCU1QlJXQlklNUQlNUJWMDJDMTAlNUQlNUJDSF9FTiU1RC5yYXI%3D,四色,0
30,http://shooter.zimuku.net/download/MjY0MDA4fCVFNSU4NyVCQSVFNSVCMSU4RjNEJUU1JThGJTk4JUU1JUJEJUEyJUU5JTg3JTkxJUU1JTg4JTlBNCVFNyVBRSU4MCVFNSU4RCU5NSVFNyU4OSVCOSVFNiU5NSU4OC4lRTclQUUlODAlRTQlQkQlOTMuemlw,3D变形金刚4绝迹重生,0
31,http://shooter.zimuku.net/download/MjY0MDA3fElsK3NvbGUrYW5jaGUrZGkrbm90dGUrLStGLmxsaStUYXZpYW5pKzE5OTAuQ2h0LnJhcg%3D%3D,子夜的太阳(1990) ,0
32,http://shooter.zimuku.net/download/MjY0MDA1fDIyLkp1bXAuU3RyZWV0LjIwMTQuMTA4MHAuV0VCLURMLkFBQzIuMC5IMjY0LVJBUkJHLnppcA%3D%3D,22.Jump.Street.2014.1080p.WEB-DL.AAC2.0.H264-RARBG,0
33,http://shooter.zimuku.net/download/MjY0MDA0fEFycm93LiVFNyVCQiVCRiVFNyVBRSVBRC5TMDIuMTA4MHAuYmx1cmF5LnppcA%3D%3D,Arrow.绿箭.S02.1080p.bluray(S02整季蓝光双语字幕）,0
